country,year,production,lat,lng
Greece,2023,4516.8373,39.0742,21.8243
Hungary,2023,2329.7258,47.1625,19.5033
Ireland,2023,1313.095,53.4129,-8.2439
Italy,2023,13812.6634,41.8719,12.5674
Latvia,2023,0.0,56.8796,24.6032
Lithuania,2023,0.0,55.1694,23.8813
Luxembourg,2023,0.0,49.8153,6.1296
Malta,2023,0.0,35.9375,14.3754
Netherlands,2023,10242.8774,52.1326,5.2913
Poland,2023,92513.8169,51.9194,19.1451
Portugal,2023,0.0,39.3999,-8.2245
Romania,2023,6561.1042,45.9432,24.9668
Slovakia,2023,1447.2293,48.669,19.699
Slovenia,2023,2820.1943,46.1512,14.9955
Spain,2023,4282.7277,40.4637,-3.7492
Sweden,2023,638.8223,60.1282,18.6435
EU27,2023,318645.1438,,
Austria,2024,10412.8436,47.5162,14.5501
Belgium,2024,54314.6947,50.5039,4.4699
Bulgaria,2024,16685.5322,42.7339,25.4858
Croatia,2024,6196.5342,45.1,15.2
Cyprus,2024,0.0,35.1264,33.4299
Czechia,2024,19495.7597,49.8175,15.473
Denmark,2024,10077.4328,56.2639,9.5018
Estonia,2024,15370.2315,58.5953,25.0136
Finland,2024,5233.9175,61.9241,25.7482
France,2024,767.3921,46.6034,1.8883
Germany,2024,39746.2066,51.1657,10.4515
Greece,2024,12931.5636,39.0742,21.8243
Hungary,2024,8718.4615,47.1625,19.5033
Ireland,2024,47428.964,53.4129,-8.2439
Italy,2024,29415.5401,41.8719,12.5674
Latvia,2024,0.0,56.8796,24.6032
Lithuania,2024,0.0,55.1694,23.8813
Luxembourg,2024,0.0,49.8153,6.1296
Malta,2024,0.0,35.9375,14.3754
Netherlands,2024,30576.4142,52.1326,5.2913
Poland,2024,31421.791,51.9194,19.1451
Portugal,2024,0.0,39.3999,-8.2245
Romania,2024,24588.2127,45.9432,24.9668
Slovakia,2024,11034.3895,48.669,19.699
Slovenia,2024,3353.7358,46.1512,14.9955
Spain,2024,9492.2429,40.4637,-3.7492
Sweden,2024,7229.2243,60.1282,18.6435
EU27,2024,394491.0845,,
